"","strain","time","h","cluster","stain","count","perc.count"
"93","Bs02020",48,"h",1,"3",21795,27.344583150367
"94","Bs02020",48,"h",2,"1",45053,55.4368824521035
"95","Bs02020",48,"h",2,"2",19932,24.0008669789396
"96","Bs02020",48,"h",2,"3",19107,23.9721472931435
"97","Bs02020",48,"h",3,"1",22804,28.0598998388069
"98","Bs02020",48,"h",3,"2",35638,42.9130492371789
"99","Bs02020",48,"h",3,"3",38803,48.6832695564896
"100","Bs02020",56,"h",1,"1",16944,21.2365422938574
"101","Bs02020",56,"h",1,"2",17223,20.6634673065387
"102","Bs02020",56,"h",1,"3",16248,20.0451534105629
"103","Bs02020",56,"h",2,"1",15184,19.0306691566295
"104","Bs02020",56,"h",2,"2",29857,35.8212357528494
"105","Bs02020",56,"h",2,"3",20080,24.7726908225076
"106","Bs02020",56,"h",3,"1",47659,59.7327885495131
"107","Bs02020",56,"h",3,"2",36270,43.5152969406119
"108","Bs02020",56,"h",3,"3",44729,55.1821557669294
"109","Bs02020",72,"h",1,"1",7132,8.85094131225257
"110","Bs02020",72,"h",1,"2",9146,11.1271975180972
"111","Bs02020",72,"h",1,"3",7661,9.20450312984345
"112","Bs02020",72,"h",2,"1",11878,14.7408133632832
"113","Bs02020",72,"h",2,"2",14188,17.261390595535
"114","Bs02020",72,"h",2,"3",8533,10.252189688938
"115","Bs02020",72,"h",3,"1",61569,76.4082453244642
"116","Bs02020",72,"h",3,"2",58861,71.6114118863678
"117","Bs02020",72,"h",3,"3",67037,80.5433071812185
"118","Bs02020",80,"h",1,"1",2849,3.78785864333768
"119","Bs02020",80,"h",1,"2",4743,5.90718876102227
"120","Bs02020",80,"h",1,"3",1858,2.43467777865136
"121","Bs02020",80,"h",2,"1",4063,5.40191985534608
"122","Bs02020",80,"h",2,"2",10820,13.4758132815224
"123","Bs02020",80,"h",2,"3",4169,5.46295568309878
"124","Bs02020",80,"h",3,"1",68302,90.8102215013162
"125","Bs02020",80,"h",3,"2",64729,80.6169979574553
"126","Bs02020",80,"h",3,"3",70287,92.1023665382499
"127","Bs02020",96,"h",1,"1",4511,5.27713436746917
"128","Bs02020",96,"h",1,"2",6048,7.07815462397304
"129","Bs02020",96,"h",1,"3",7296,8.70239387397273
"130","Bs02020",96,"h",2,"1",6752,7.89873891579514
"131","Bs02020",96,"h",2,"2",7381,8.63820424595651
"132","Bs02020",96,"h",2,"3",4819,5.74792161166044
"133","Bs02020",96,"h",3,"1",74219,86.8241267167357
"134","Bs02020",96,"h",3,"2",72017,84.2836411300704
"135","Bs02020",96,"h",3,"3",71724,85.5496845143668
