host,media,time,dilution,well,phage,rep,total.events,volume.nL,limit.events,limit.volume.uL,singlets,neg.rmv,noise.cutoff,noisy.events,clean.events,spore,veg,spore.ml,veg.ml
delta6,LB,T0,x100,C1,SP10WT,A,50000,21633,50000,30,49031,1213,8.961326544231857,47818,44595,11609,32986,53663384.643831186,152480007.3961078
delta6,LB,T0,x100,C2,SP10WT,B,50000,25147,50000,30,48704,1508,8.871215855577967,47196,41223,15024,26199,59744701.157195695,104183401.59860024
delta6,LB,T0,x100,C3,SP10WT,C,10145,30000,50000,30,10000,588,8.837599360570794,9412,7923,4519,3404,15063333.333333334,11346666.666666668
delta6,LB,T0,x100,C4,SP10dF,A,50000,21746,50000,30,48390,1266,8.253118786370322,47124,44161,8647,35514,39763634.691437505,163312793.15736225
delta6,LB,T0,x100,C5,SP10dF,B,50000,17423,50000,30,47239,1812,8.093752102096074,45427,38289,14173,24116,81346496.01101992,138414739.13792112
delta6,LB,T0,x100,C6,SP10dF,C,14237,30000,50000,30,13093,994,8.610300534690564,12099,7700,5359,2341,17863333.333333336,7803333.333333334
delta6,LB,T0,x100,C7,noPHI,A,47858,30000,50000,30,46612,1267,8.672276568092185,45345,41037,5676,35361,18920000,117870000
delta6,LB,T0,x100,C8,noPHI,B,50000,18030,50000,30,49256,986,9.075627399743414,48270,42721,20405,22316,113172490.29395452,123771491.95784803
delta6,LB,T0,x100,C9,noPHI,C,27104,30000,50000,30,26811,709,8.445329591781942,26102,23945,1508,22437,5026666.666666667,74790000
