host,media,time,dilution,well,phage,rep,total.events,volume.nL,limit.events,limit.volume.uL,singlets,neg.rmv,noise.cutoff,noisy.events,clean.events,spore,veg,spore.ml,veg.ml
delta6,LB,T0,x10,A1,SP10WT,A,50000,2542,50000,30,48490,3328,8.933183136284143,45162,43002,9443,33559,37147915.027537376,132018095.98741148
delta6,LB,T0,x10,A2,SP10WT,B,50000,2616,50000,30,48354,4338,8.8516601574165,44016,38923,14788,24135,56529051.987767585,92259174.31192662
delta6,LB,T0,x10,A3,SP10WT,C,50000,14684,50000,30,49306,7099,8.681638609368893,42207,36495,16861,19634,11482566.058294743,13371016.07191501
delta6,LB,T0,x10,A4,SP10dF,A,50000,2327,50000,30,48457,3982,8.651505126536335,44475,42348,8279,34069,35577997.42157284,146407391.49119037
delta6,LB,T0,x10,A5,SP10dF,B,50000,1929,50000,30,47618,4739,6.441085439767134,42879,41668,10382,31286,53820632.4520477,162187662.00103682
delta6,LB,T0,x10,A6,SP10dF,C,50000,11027,50000,30,45931,6047,8.658300632019813,39884,24689,11952,12737,10838850.095220821,11550739.094948761
delta6,LB,T0,x10,A7,noPHI,A,50000,3257,50000,30,48269,4033,8.650216505351384,44236,40104,8733,31371,26813018.1148296,96318698.18851705
delta6,LB,T0,x10,A8,noPHI,B,50000,2075,50000,30,48182,3079,9.05695858287443,45103,40393,17677,22716,85190361.44578314,109474698.79518072
delta6,LB,T0,x10,A9,noPHI,C,50000,5830,50000,30,48727,4756,8.486710653892224,43971,40189,8794,31395,15084048.027444253,53850771.86963979
