host,media,time,dilution,well,phage,rep,total.events,volume.nL,limit.events,limit.volume.uL,singlets,neg.rmv,noise.cutoff,noisy.events,clean.events,spore,veg,spore.ml,veg.ml
W23,LB,T0,x100,D1,SP10WT,A,50000,18936,50000,30,47441,2199,8.313045625375874,45242,28198,148,28050,781580.059146599,148130544.99366286
W23,LB,T0,x100,D10,noPHI,DSM,50000,17557,50000,30,47863,295,8.70583062822435,47568,42529,22712,19817,129361508.23033547,112872358.60340606
W23,LB,T0,x100,D2,SP10WT,B,50000,28637,50000,30,43986,3772,8.33655166306573,40214,16635,195,16440,680937.249013514,57408248.070677795
W23,LB,T0,x100,D3,SP10WT,C,50000,16700,50000,30,46777,2581,7.028631851962757,44196,35598,231,35367,1383233.5329341318,211778443.11377245
W23,LB,T0,x100,D4,SP10dF,A,50000,15768,50000,30,47943,2358,8.37554090215534,45585,26609,92,26517,583460.1725012683,168169710.8066971
W23,LB,T0,x100,D5,SP10dF,B,50000,13196,50000,30,47218,3275,8.218158294847019,43943,27951,118,27833,894210.3667778115,210919975.75022736
W23,LB,T0,x100,D6,SP10dF,C,18233,30000,50000,30,15874,1042,8.555669016408684,14832,8962,64,8898,213333.33333333334,29660000
W23,LB,T0,x100,D7,noPHI,A,50000,11206,50000,30,49529,3017,8.174475808408138,46512,34130,1664,32466,14849187.935034802,289719792.9680528
W23,LB,T0,x100,D8,noPHI,B,50000,6141,50000,30,44941,4056,8.37226383836274,40885,16359,2895,13464,47142159.257449925,219247679.53102103
W23,LB,T0,x100,D9,noPHI,C,50000,11295,50000,30,46525,5275,8.149056905641494,41250,22555,451,22104,3992917.220008854,195697211.1553785
