host,media,time,dilution,well,phage,rep,total.events,volume.nL,limit.events,limit.volume.uL,singlets,neg.rmv,noise.cutoff,noisy.events,clean.events,spore,veg,spore.ml,veg.ml
W23,LB,T0,x10,B1,SP10WT,A,50000,2271,50000,30,48634,2559,8.069047346386789,46075,32352,5614,26738,24720387.494495817,117736679.8767063
W23,LB,T0,x10,B10,noPHI,DSM,50000,1957,50000,30,47401,4504,8.666662414427936,42897,38911,17039,21872,87066939.1926418,111762902.40163516
W23,LB,T0,x10,B2,SP10WT,B,50000,3145,50000,30,45059,4642,8.321059689901212,40417,18150,3141,15009,9987281.399046106,47723370.42925279
W23,LB,T0,x10,B3,SP10WT,C,50000,1916,50000,30,48717,2803,7.005878585965289,45914,38612,2654,35958,13851774.5302714,187672233.8204593
W23,LB,T0,x10,B4,SP10dF,A,50000,1850,50000,30,47155,2524,8.419878703073056,44631,27826,2920,24906,15783783.783783782,134627027.027027
W23,LB,T0,x10,B5,SP10dF,B,50000,1658,50000,30,48178,2693,8.13603546007102,45485,33317,1925,31392,11610373.94451146,189336550.06031364
W23,LB,T0,x10,B6,SP10dF,C,50000,6519,50000,30,34537,3355,9.38432330186126,31182,6499,75,6424,115048.32029452371,9854272.127626937
W23,LB,T0,x10,B7,noPHI,A,50000,1474,50000,30,49336,3512,7.972643401250674,45824,37781,4246,33535,28805970.14925373,227510176.3907734
W23,LB,T0,x10,B8,noPHI,B,50000,896,50000,30,47722,2950,8.213617851874544,44772,25186,3168,22018,35357142.85714286,245736607.14285713
W23,LB,T0,x10,B9,noPHI,C,50000,1513,50000,30,48763,3947,7.985399605861758,44816,30130,1289,28841,8519497.686715135,190621282.22075346
