host,media,time,dilution,well,phage,rep,total.events,volume.nL,limit.events,limit.volume.uL,singlets,neg.rmv,noise.cutoff,noisy.events,clean.events,spore,veg,spore.ml,veg.ml
W23,LB,T0,x10,B1,SP10WT,A,50000,1165,50000,30,48093,1933,8.112278874900115,46160,40926,6225,34701,53433476.394849785,297862660.944206
W23,LB,T0,x10,B10,noPHI,DSM,50000,790,50000,30,47339,1560,8.3641138861472335,45779,43780,5279,38501,66822784.81012658,487354430.37974685
W23,LB,T0,x10,B2,SP10WT,B,50000,1139,50000,30,47468,2167,8.156006190107705,45301,39944,5787,34157,50807726.075504825,299885864.79367864
W23,LB,T0,x10,B3,SP10WT,C,50000,1363,50000,30,49222,2581,8.370684952218822,46641,35775,8569,27206,62868672.04695524,199603815.11371973
W23,LB,T0,x10,B4,SP10dF,A,50000,1114,50000,30,48374,2080,7.980380488591313,46294,41518,6037,35481,54192100.53859964,318500897.66606826
W23,LB,T0,x10,B5,SP10dF,B,50000,1003,50000,30,48541,1862,8.09531445044008,46679,39469,4254,35215,42412761.71485543,351096709.87038887
W23,LB,T0,x10,B6,SP10dF,C,50000,1294,50000,30,49392,2637,8.433117311466594,46755,31655,5498,26157,42488408.03709428,202140649.14992273
W23,LB,T0,x10,B7,noPHI,A,50000,1182,50000,30,48088,3970,8.26851418158432,44118,30848,3065,27783,25930626.05752961,235050761.42131978
W23,LB,T0,x10,B8,noPHI,B,50000,1275,50000,30,46801,2740,8.779768691499925,44061,20124,1430,18694,11215686.274509802,146619607.84313723
W23,LB,T0,x10,B9,noPHI,C,50000,1090,50000,30,47998,4081,8.20550558122912,43917,33461,3567,29894,32724770.642201833,274256880.73394495
