host,media,time,dilution,well,phage,rep,total.events,volume.nL,limit.events,limit.volume.uL,singlets,neg.rmv,noise.cutoff,noisy.events,clean.events,spore,veg,spore.ml,veg.ml
delta6,DSM,T5,x100,H1,SP10WT,A,30780,30000,50000,30,30191,246,9.132174752572432,29945,23347,22826,521,76086666.66666667,1736666.6666666667
delta6,DSM,T5,x100,H2,SP10WT,B,24247,30000,50000,30,23823,179,8.726014640909803,23644,16420,15854,566,52846666.66666667,1886666.6666666667
delta6,DSM,T5,x100,H3,SP10WT,C,34278,30000,50000,30,33580,1017,8.907465782827781,32563,20799,20285,514,67616666.66666667,1713333.3333333335
delta6,DSM,T5,x100,H4,SP10dF,A,34626,30000,50000,30,34151,392,9.193698429799268,33759,26236,25937,299,86456666.66666667,996666.6666666667
delta6,DSM,T5,x100,H5,SP10dF,B,25898,30000,50000,30,25586,187,8.722583859343079,25399,17948,17280,668,57600000,2226666.666666667
delta6,DSM,T5,x100,H6,SP10dF,C,31668,30000,50000,30,31052,453,8.699882915473852,30599,23083,22547,536,75156666.66666667,1786666.6666666667
