host,media,time,dilution,well,phage,rep,total.events,volume.nL,limit.events,limit.volume.uL,singlets,neg.rmv,noise.cutoff,noisy.events,clean.events,spore,veg,spore.ml,veg.ml
delta6,DSM,T5,x10,D1,SP10WT,A,50000,4779,50000,30,49069,1951,9.329209944559894,47118,37427,36245,1182,75842226.40719816,2473320.778405524
delta6,DSM,T5,x10,D2,SP10WT,B,50000,6536,50000,30,49139,3848,8.807263098247313,45291,30703,28686,2017,43889228.88616891,3085985.312117503
delta6,DSM,T5,x10,D3,SP10WT,C,50000,4736,50000,30,48867,2145,8.847446829403516,46722,30213,28995,1218,61222550.675675675,2571790.5405405406
delta6,DSM,T5,x10,D4,SP10dF,A,50000,4629,50000,30,49092,839,9.113973860678096,48253,37396,36218,1178,78241520.84683517,2544826.0963491034
delta6,DSM,T5,x10,D5,SP10dF,B,50000,6299,50000,30,49186,3637,8.743987267215472,45549,31142,29212,1930,46375615.17701223,3063978.409271313
delta6,DSM,T5,x10,D6,SP10dF,C,50000,4900,50000,30,48902,3847,8.770794318300215,45055,32596,31026,1570,63318367.346938774,3204081.6326530613
