host,media,time,dilution,well,phage,rep,total.events,volume.nL,limit.events,limit.volume.uL,singlets,neg.rmv,noise.cutoff,noisy.events,clean.events,spore,veg,spore.ml,veg.ml
delta6,LB,T0,x100,E1,SP10WT,A,23171,30000,50000,30,21847,1528,8.664812922175894,20319,17958,9294,8664,30980000,28880000
delta6,LB,T0,x100,E2,SP10WT,B,50000,8593,50000,30,49045,648,9.100992742119491,48397,43971,4785,39186,55684859.76957989,456022343.7681834
delta6,LB,T0,x100,E3,SP10WT,C,8233,30000,50000,30,7512,824,8.69501997591845,6688,5306,4439,867,14796666.666666668,2890000
delta6,LB,T0,x100,E4,SP10dF,A,24488,30000,50000,30,23987,1238,8.93597709786171,22749,20115,8948,11167,29826666.666666668,37223333.333333336
delta6,LB,T0,x100,E5,SP10dF,B,48147,30000,50000,30,44495,3893,9.09218695113767,40602,36096,25021,11075,83403333.33333334,36916666.66666667
delta6,LB,T0,x100,E6,SP10dF,C,8805,30000,50000,30,8033,1073,9.178662836217208,6960,5788,5052,736,16840000,2453333.3333333335
delta6,LB,T0,x100,E7,noPHI,A,50000,8471,50000,30,48794,544,9.072082196532493,48250,44282,1627,42655,19206705.229606897,503541494.51068354
delta6,LB,T0,x100,E8,noPHI,B,50000,6946,50000,30,48322,353,8.725790647008953,47969,43210,5286,37924,76101353.2968615,545983299.7408581
delta6,LB,T0,x100,E9,noPHI,C,50000,10591,50000,30,48923,388,9.147124903679252,48535,45534,723,44811,6826550.845057124,423104522.7079596
