host,media,time,dilution,well,phage,rep,total.events,volume.nL,limit.events,limit.volume.uL,singlets,neg.rmv,noise.cutoff,noisy.events,clean.events,spore,veg,spore.ml,veg.ml
delta6,LB,T0,x10,A1,SP10WT,A,50000,9756,50000,30,47183,5818,8.765958248625811,41365,36967,17927,19040,18375358.753587533,19516195.161951616
delta6,LB,T0,x10,A2,SP10WT,B,50000,1083,50000,30,46879,1802,9.029054144103199,45077,42147,13729,28418,126768236.38042475,262400738.68882734
delta6,LB,T0,x10,A3,SP10WT,C,50000,17449,50000,30,46489,8714,8.990083384110696,37775,28959,17661,11298,10121496.933921715,6474869.620035533
delta6,LB,T0,x10,A4,SP10dF,A,50000,6085,50000,30,49269,5717,8.963495344129164,43552,38889,12064,26825,19825801.15036976,44083812.654067375
delta6,LB,T0,x10,A5,SP10dF,B,50000,3630,50000,30,48992,7265,9.170064004953016,41727,38818,20977,17841,57787878.78787879,49148760.33057851
delta6,LB,T0,x10,A6,SP10dF,C,50000,17261,50000,30,46419,9900,9.227136513271883,36519,30643,17846,12797,10338914.315508952,7413823.069347084
delta6,LB,T0,x10,A7,noPHI,A,50000,1137,50000,30,46519,1282,8.995784294309173,45237,42532,5181,37351,45567282.321899734,328504837.29111695
delta6,LB,T0,x10,A8,noPHI,B,50000,985,50000,30,46090,1106,8.980350639119905,44984,42027,4322,37705,43878172.58883249,382791878.1725888
delta6,LB,T0,x10,A9,noPHI,C,50000,1343,50000,30,46652,4365,9.054793371983697,42287,40028,13766,26262,102501861.5040953,195547282.20402086
