host,media,time,dilution,well,phage,rep,total.events,volume.nL,limit.events,limit.volume.uL,singlets,neg.rmv,noise.cutoff,noisy.events,clean.events,spore,veg,spore.ml,veg.ml
delta6,DSM,T4,x100,G1,SP10WT,A,43772,30000,50000,30,43293,436,9.886009401115095,42857,36422,36320,102,121066666.66666667,340000
delta6,DSM,T4,x100,G2,SP10WT,B,30776,30000,50000,30,30328,319,9.01169318360102,30009,22399,21939,460,73130000,1533333.3333333335
delta6,DSM,T4,x100,G3,SP10WT,C,36736,30000,50000,30,36294,707,9.529808191567396,35587,28750,28551,199,95170000,663333.3333333334
delta6,DSM,T4,x100,G4,SP10dF,A,46806,30000,50000,30,46342,189,9.746361552290875,46153,42093,42001,92,140003333.33333334,306666.6666666667
delta6,DSM,T4,x100,G5,SP10dF,B,28777,30000,50000,30,28340,283,8.976169917347065,28057,20332,19840,492,66133333.333333336,1640000
delta6,DSM,T4,x100,G6,SP10dF,C,40305,30000,50000,30,39861,486,9.82026705329409,39375,33336,33259,77,110863333.33333334,256666.6666666667
delta6,DSM,T4,x100,G7,noPHI,A,50000,14744,50000,30,47670,337,7.569592280504683,47333,42519,20014,22505,135743353.2284319,152638361.36733586
delta6,DSM,T4,x100,G8,noPHI,B,50000,12824,50000,30,48273,131,7.092571390198583,48142,43663,16119,27544,125694011.22894572,214784778.54023704
delta6,DSM,T4,x100,G9,noPHI,C,50000,14265,50000,30,47643,211,7.722670272420869,47432,42541,21719,20822,152253767.96354714,145965650.19277954
