host,media,time,dilution,well,phage,rep,total.events,volume.nL,limit.events,limit.volume.uL,singlets,neg.rmv,noise.cutoff,noisy.events,clean.events,spore,veg,spore.ml,veg.ml
delta6,DSM,T4,x100,G1,SP10WT,A,36143,30000,50000,30,35650,205,9.93377450384732,35445,31491,31391,100,104636666.66666667,333333.3333333334
delta6,DSM,T4,x100,G2,SP10WT,B,24038,30000,50000,30,23622,168,9.813835427717834,23454,19780,19695,85,65650000,283333.3333333334
delta6,DSM,T4,x100,G3,SP10WT,C,30908,30000,50000,30,29787,275,9.70374918827235,29512,25768,25542,226,85140000,753333.3333333334
delta6,DSM,T4,x100,G4,SP10dF,A,45184,30000,50000,30,43870,219,9.694930073760904,43651,39373,38093,1280,126976666.66666667,4266666.666666667
delta6,DSM,T4,x100,G5,SP10dF,B,32101,30000,50000,30,29207,200,7.591356248314381,29007,26945,17622,9323,58740000,31076666.666666668
delta6,DSM,T4,x100,G6,SP10dF,C,41709,30000,50000,30,40249,182,9.365603694225442,40067,32009,30191,1818,100636666.66666667,6060000
delta6,DSM,T4,x100,G7,noPHI,A,50000,20193,50000,30,46555,128,7.13806452553797,46427,43766,28327,15439,140281285.59401774,76457188.13450205
delta6,DSM,T4,x100,G8,noPHI,B,50000,17829,50000,30,47631,126,6.424546900753557,47505,46534,23850,22684,133770822.8167592,127230915.92349543
delta6,DSM,T4,x100,G9,noPHI,C,50000,18875,50000,30,46367,120,6.572808211175509,46247,45104,28435,16669,150649006.62251657,88312582.78145696
