host,media,time,dilution,well,phage,rep,total.events,volume.nL,limit.events,limit.volume.uL,singlets,neg.rmv,noise.cutoff,noisy.events,clean.events,spore,veg,spore.ml,veg.ml
delta6,LB,T0,x100,E1,SP10WT,A,24871,30000,50000,30,23638,1531,8.318251238677945,22107,17916,8293,9623,27643333.333333336,32076666.666666668
delta6,LB,T0,x100,E2,SP10WT,B,50000,14402,50000,30,49260,958,9.06325422195598,48302,44087,9448,34639,65601999.722260796,240515206.22135815
delta6,LB,T0,x100,E3,SP10WT,C,8176,30000,50000,30,7811,531,8.717221444568928,7280,5976,4816,1160,16053333.333333334,3866666.666666667
delta6,LB,T0,x100,E4,SP10dF,A,36485,30000,50000,30,35702,1311,8.258824294260444,34391,30881,8220,22661,27400000,75536666.66666667
delta6,LB,T0,x100,E5,SP10dF,B,50000,21454,50000,30,48266,1735,7.543877402871856,46531,44586,16931,27655,78917684.34790714,128903700.94154936
delta6,LB,T0,x100,E6,SP10dF,C,20559,30000,50000,30,20351,666,8.956063421390391,19685,18187,5517,12670,18390000,42233333.333333336
delta6,LB,T0,x100,E7,noPHI,A,50000,15174,50000,30,48789,651,9.022025953674866,48138,44558,3201,41357,21095294.582839068,272551733.22788984
delta6,LB,T0,x100,E8,noPHI,B,50000,9995,50000,30,49173,553,9.115373345888454,48620,43774,13478,30296,134847423.71185592,303111555.77788895
delta6,LB,T0,x100,E9,noPHI,C,50000,17594,50000,30,48871,548,9.144708817368791,48323,45394,1156,44238,6570421.734682279,251437990.22394
