host,media,time,dilution,well,phage,rep,total.events,volume.nL,limit.events,limit.volume.uL,singlets,neg.rmv,noise.cutoff,noisy.events,clean.events,spore,veg,spore.ml,veg.ml
delta6,DSM,T5,x10,D1,SP10WT,A,50000,4135,50000,30,47669,1693,6.921792050569523,45976,45304,27886,17418,67438935.91293834,42123337.363966145
delta6,DSM,T5,x10,D2,SP10WT,B,50000,4755,50000,30,47861,3594,6.490267778464588,44267,43481,20252,23229,42590956.88748686,48851735.01577287
delta6,DSM,T5,x10,D3,SP10WT,C,50000,5465,50000,30,48274,4281,9.145397658534732,43993,36140,28489,7651,52129917.657822505,14000000
delta6,DSM,T5,x10,D4,SP10dF,A,50000,4060,50000,30,46782,2769,9.362384370441072,44013,37889,27576,10313,67921182.26600985,25401477.832512315
delta6,DSM,T5,x10,D5,SP10dF,B,50000,6672,50000,30,47436,4963,9.095290150403182,42473,34984,27879,7105,41785071.942446046,10648980.815347722
delta6,DSM,T5,x10,D6,SP10dF,C,50000,5022,50000,30,46689,4983,9.165296764396329,41706,35576,27446,8130,54651533.25368378,16188769.414575865
