host,media,time,dilution,well,phage,rep,total.events,volume.nL,limit.events,limit.volume.uL,singlets,neg.rmv,noise.cutoff,noisy.events,clean.events,spore,veg,spore.ml,veg.ml
delta6,LB,T0,x10,A1,SP10WT,A,50000,6510,50000,30,48633,6294,8.269699500745572,42339,34608,9016,25592,13849462.365591398,39311827.95698924
delta6,LB,T0,x10,A2,SP10WT,B,50000,1803,50000,30,47862,2377,9.04289278787087,45485,42009,20370,21639,112978369.3843594,120016638.93510816
delta6,LB,T0,x10,A3,SP10WT,C,50000,18215,50000,30,48780,7932,8.682354337390294,40848,32817,21590,11227,11852868.514960198,6163601.427395005
delta6,LB,T0,x10,A4,SP10dF,A,50000,4248,50000,30,48309,4289,8.578174085501782,44020,39201,7103,32098,16720809.79284369,75560263.65348399
delta6,LB,T0,x10,A5,SP10dF,B,50000,2552,50000,30,48493,4527,8.561241102855451,43966,40993,13583,27410,53224921.630094044,107405956.11285266
delta6,LB,T0,x10,A6,SP10dF,C,50000,7411,50000,30,49127,3923,8.971662360719069,45204,41938,12127,29811,16363513.695857508,40225340.70975577
delta6,LB,T0,x10,A7,noPHI,A,50000,1947,50000,30,47525,1749,8.994612719390766,45776,42505,8539,33966,43857216.230097584,174453004.62249616
delta6,LB,T0,x10,A8,noPHI,B,50000,1308,50000,30,47494,1700,9.06677299148582,45794,41804,11697,30107,89426605.50458716,230175840.9785933
delta6,LB,T0,x10,A9,noPHI,C,50000,1935,50000,30,47791,6168,9.09186447503188,41623,39054,15571,23483,80470284.23772609,121359173.12661499
