host,media,time,dilution,well,phage,rep,total.events,volume.nL,limit.events,limit.volume.uL,singlets,neg.rmv,noise.cutoff,noisy.events,clean.events,spore,veg,spore.ml,veg.ml
W23,LB,T0,x10,B1,SP10WT,A,50000,1782,50000,30,48371,2384,7.911509021799564,45987,36541,5729,30812,32149270.48260382,172906846.24017957
W23,LB,T0,x10,B10,noPHI,DSM,50000,1306,50000,30,46735,2865,8.51369909243399,43870,40300,10536,29764,80673813.16998468,227901990.81163856
W23,LB,T0,x10,B2,SP10WT,B,50000,2013,50000,30,48959,3776,8.541411210834887,45183,29261,6274,22987,31167411.82314953,114192747.14356682
W23,LB,T0,x10,B3,SP10WT,C,50000,1876,50000,30,47887,2444,8.289276514464618,45443,32627,5697,26930,30367803.83795309,143550106.6098081
W23,LB,T0,x10,B4,SP10dF,A,50000,1650,50000,30,47781,2217,8.232576088083478,45564,35452,5565,29887,33727272.72727273,181133333.33333334
W23,LB,T0,x10,B5,SP10dF,B,50000,1548,50000,30,48776,2547,8.13826466224965,46229,34748,3434,31314,22183462.532299742,202286821.70542637
W23,LB,T0,x10,B6,SP10dF,C,50000,1454,50000,30,48664,2188,7.654052127907107,46476,39319,6296,33023,43301237.96423659,227118294.36038515
W23,LB,T0,x10,B7,noPHI,A,50000,1479,50000,30,48482,4835,8.16047871781727,43647,29488,3595,25893,24306964.164976336,175070993.9148073
W23,LB,T0,x10,B8,noPHI,B,50000,1119,50000,30,49232,3999,8.121972407029437,45233,34743,3898,30845,34834673.81590706,275647899.9106345
W23,LB,T0,x10,B9,noPHI,C,50000,1253,50000,30,49086,4309,8.208828171907031,44777,30287,2734,27553,21819632.881085396,219896249.00239426
