host,media,time,dilution,well,phage,rep,total.events,volume.nL,limit.events,limit.volume.uL,singlets,neg.rmv,noise.cutoff,noisy.events,clean.events,spore,veg,spore.ml,veg.ml
W23,LB,T0,x100,F1,SP10WT,A,50000,14869,50000,30,47788,1821,8.435225908082863,45967,31872,356,31516,2394243.0560225975,211957764.47642747
W23,LB,T0,x100,F10,noPHI,DSM,50000,11033,50000,30,47111,361,8.266828671218544,46750,41528,13964,27564,126565757.27363364,249832321.2181637
W23,LB,T0,x100,F2,SP10WT,B,50000,15690,50000,30,47735,2914,8.56990433422626,44821,27305,1486,25819,9471000.63734863,164557042.7023582
W23,LB,T0,x100,F3,SP10WT,C,50000,14194,50000,30,47875,2032,8.359169539557737,45843,30846,1663,29183,11716218.120332535,205600958.15133154
W23,LB,T0,x100,F4,SP10dF,A,50000,13209,50000,30,48952,2116,8.35857488384096,46836,32938,497,32441,3762586.115527292,245597698.538875
W23,LB,T0,x100,F5,SP10dF,B,50000,10420,50000,30,47115,3187,8.351427189479493,43928,27009,355,26654,3406909.788867562,255796545.1055662
W23,LB,T0,x100,F6,SP10dF,C,50000,11275,50000,30,48825,1417,8.400171174433227,47408,35431,1695,33736,15033259.423503326,299210643.01552105
W23,LB,T0,x100,F7,noPHI,A,50000,10548,50000,30,46751,5176,8.331237956625365,41575,22371,981,21390,9300341.296928328,202787258.2480091
W23,LB,T0,x100,F8,noPHI,B,50000,7965,50000,30,47796,2676,8.273899541587689,45120,30872,2877,27995,36120527.30696799,351475204.01757693
W23,LB,T0,x100,F9,noPHI,C,50000,8609,50000,30,46301,5952,8.324562019224178,40349,20841,857,19984,9954698.571262632,232129167.15065628
