host,media,time,dilution,well,phage,rep,total.events,volume.nL,limit.events,limit.volume.uL,singlets,neg.rmv,noise.cutoff,noisy.events,clean.events,spore,veg,spore.ml,veg.ml
delta6,DSM,T5,x100,H1,SP10WT,A,39519,30000,50000,30,37554,127,6.678501997414119,37427,36998,23876,13122,79586666.66666667,43740000
delta6,DSM,T5,x100,H2,SP10WT,B,32199,30000,50000,30,30713,174,6.434085067937495,30539,30206,15802,14404,52673333.333333336,48013333.333333336
delta6,DSM,T5,x100,H3,SP10WT,C,27802,30000,50000,30,26614,153,9.415516496003871,26461,21768,19202,2566,64006666.66666667,8553333.333333334
delta6,DSM,T5,x100,H4,SP10dF,A,37395,30000,50000,30,34348,183,9.415512820251518,34165,28842,24035,4807,80116666.66666667,16023333.333333334
delta6,DSM,T5,x100,H5,SP10dF,B,22588,30000,50000,30,21338,168,9.319826075838291,21170,17700,15885,1815,52950000,6050000
delta6,DSM,T5,x100,H6,SP10dF,C,30730,30000,50000,30,28416,188,9.262324881257065,28228,23948,21247,2701,70823333.33333334,9003333.333333334
