host,media,time,dilution,well,phage,rep,total.events,volume.nL,limit.events,limit.volume.uL,singlets,neg.rmv,noise.cutoff,noisy.events,clean.events,spore,veg,spore.ml,veg.ml
delta6,DSM,T4,x10,C1,SP10WT,A,50000,4447,50000,30,48874,1690,9.93121097296489,47184,42482,41990,492,94423206.6561727,1106363.8407915446
delta6,DSM,T4,x10,C2,SP10WT,B,50000,6574,50000,30,48841,5356,9.704095716451894,43485,35295,33942,1353,51630666.26102829,2058107.696988135
delta6,DSM,T4,x10,C3,SP10WT,C,50000,4881,50000,30,48162,4789,9.634210504394119,43373,37182,35213,1969,72143003.48289286,4034009.4242982995
delta6,DSM,T4,x10,C4,SP10dF,A,50000,3461,50000,30,48090,2117,9.662477902224486,45973,41507,38014,3493,109835307.71453337,10092458.826928632
delta6,DSM,T4,x10,C5,SP10dF,B,50000,4651,50000,30,46112,3073,8.998790848090293,43039,36607,22433,14174,48232638.14233498,30475166.63083208
delta6,DSM,T4,x10,C6,SP10dF,C,50000,3818,50000,30,48000,2051,9.101561417404811,45949,40681,31829,8852,83365636.458879,23184913.56731273
delta6,DSM,T4,x10,C7,noPHI,A,50000,2337,50000,30,47342,1005,6.899893740727839,46337,44572,27108,17464,115994865.21181001,74728284.1249465
delta6,DSM,T4,x10,C8,noPHI,B,50000,2259,50000,30,47795,538,6.311322432209832,47257,46624,23035,23589,101969898.18503761,104422310.7569721
delta6,DSM,T4,x10,C9,noPHI,C,50000,2172,50000,30,47280,594,8.931232248919217,46686,40711,27334,13377,125847145.48802948,61588397.79005525
